phrog_id	color	annot	category
phrog_14172	#c9c9c9	NA	unknown function
phrog_14173	#c9c9c9	NA	unknown function
phrog_14174	#c9c9c9	NA	unknown function
phrog_14175	#c9c9c9	NA	unknown function
phrog_14176	#ffdf59	polymerase	DNA, RNA and nucleotide metabolism
phrog_14177	#c9c9c9	NA	unknown function
phrog_14178	#c9c9c9	NA	unknown function
phrog_14179	#ff59f5	glycosyltransferase	moron, auxiliary metabolic gene and host takeover
phrog_14180	#c9c9c9	NA	unknown function
phrog_14181	#c9c9c9	NA	unknown function
phrog_14182	#838383	esterase	other
phrog_14183	#c9c9c9	NA	unknown function
phrog_14184	#c9c9c9	NA	unknown function
phrog_14185	#c9c9c9	NA	unknown function
phrog_14186	#c9c9c9	NA	unknown function
phrog_14187	#c9c9c9	NA	unknown function
phrog_14188	#c9c9c9	NA	unknown function
phrog_14189	#c9c9c9	NA	unknown function
phrog_14190	#c9c9c9	NA	unknown function
phrog_14191	#c9c9c9	NA	unknown function
phrog_14192	#c9c9c9	NA	unknown function
phrog_14193	#c9c9c9	NA	unknown function
phrog_14194	#c9c9c9	NA	unknown function
phrog_14195	#c9c9c9	NA	unknown function
phrog_14196	#838383	phosphohydrolase	other
phrog_14197	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14198	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
phrog_14199	#c9c9c9	NA	unknown function
phrog_14200	#c9c9c9	NA	unknown function
phrog_14201	#c9c9c9	NA	unknown function
phrog_14202	#c9c9c9	NA	unknown function
phrog_14203	#c9c9c9	NA	unknown function
phrog_14204	#c9c9c9	NA	unknown function
phrog_14205	#c9c9c9	NA	unknown function
phrog_14206	#c9c9c9	NA	unknown function
phrog_14207	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
phrog_14208	#c9c9c9	NA	unknown function
phrog_14209	#c9c9c9	NA	unknown function
phrog_14210	#c9c9c9	NA	unknown function
phrog_14211	#a861e3	anti-repressor	transcription regulation
phrog_14212	#c9c9c9	NA	unknown function
phrog_14213	#c9c9c9	NA	unknown function
phrog_14214	#c9c9c9	NA	unknown function
phrog_14215	#c9c9c9	NA	unknown function
phrog_14216	#c9c9c9	NA	unknown function
phrog_14217	#3e83f6	prohead	head and packaging
phrog_14218	#c9c9c9	NA	unknown function
phrog_14219	#c9c9c9	NA	unknown function
phrog_14220	#c9c9c9	NA	unknown function
phrog_14221	#c9c9c9	NA	unknown function
phrog_14222	#c9c9c9	NA	unknown function
phrog_14223	#c9c9c9	NA	unknown function
phrog_14224	#c9c9c9	NA	unknown function
phrog_14225	#c9c9c9	NA	unknown function
phrog_14226	#c9c9c9	NA	unknown function
phrog_14227	#c9c9c9	NA	unknown function
phrog_14228	#c9c9c9	NA	unknown function
phrog_14229	#c9c9c9	NA	unknown function
phrog_14230	#c9c9c9	NA	unknown function
phrog_14231	#c9c9c9	NA	unknown function
phrog_14232	#c9c9c9	NA	unknown function
phrog_14233	#c9c9c9	NA	unknown function
phrog_14234	#c9c9c9	NA	unknown function
phrog_14235	#c9c9c9	NA	unknown function
phrog_14236	#07e9a2	tail fiber protein	tail
phrog_14237	#c9c9c9	NA	unknown function
phrog_14238	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
phrog_14239	#c9c9c9	NA	unknown function
phrog_14240	#c9c9c9	NA	unknown function
phrog_14241	#c9c9c9	NA	unknown function
phrog_14242	#3e83f6	major head protein	head and packaging
phrog_14243	#c9c9c9	NA	unknown function
phrog_14244	#c9c9c9	NA	unknown function
phrog_14245	#c9c9c9	NA	unknown function
phrog_14246	#c9c9c9	NA	unknown function
phrog_14247	#c9c9c9	NA	unknown function
phrog_14248	#c9c9c9	NA	unknown function
phrog_14249	#c9c9c9	NA	unknown function
phrog_14250	#c9c9c9	NA	unknown function
phrog_14251	#c9c9c9	NA	unknown function
phrog_14252	#c9c9c9	NA	unknown function
phrog_14253	#c9c9c9	NA	unknown function
phrog_14254	#c9c9c9	NA	unknown function
phrog_14255	#c9c9c9	NA	unknown function
phrog_14256	#c9c9c9	NA	unknown function
phrog_14257	#c9c9c9	NA	unknown function
phrog_14258	#c9c9c9	NA	unknown function
phrog_14259	#c9c9c9	NA	unknown function
phrog_14260	#07e9a2	tail protein	tail
phrog_14261	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14262	#c9c9c9	NA	unknown function
phrog_14263	#c9c9c9	NA	unknown function
phrog_14264	#c9c9c9	NA	unknown function
phrog_14265	#c9c9c9	NA	unknown function
phrog_14266	#c9c9c9	NA	unknown function
phrog_14267	#c9c9c9	NA	unknown function
phrog_14268	#07e9a2	tail assembly chaperone	tail
phrog_14269	#c9c9c9	NA	unknown function
phrog_14270	#c9c9c9	NA	unknown function
phrog_14271	#c9c9c9	NA	unknown function
phrog_14272	#c9c9c9	NA	unknown function
phrog_14273	#c9c9c9	NA	unknown function
phrog_14274	#c9c9c9	NA	unknown function
phrog_14275	#c9c9c9	NA	unknown function
phrog_14276	#c9c9c9	NA	unknown function
phrog_14277	#c9c9c9	NA	unknown function
phrog_14278	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14279	#c9c9c9	NA	unknown function
phrog_14280	#c9c9c9	NA	unknown function
phrog_14281	#c9c9c9	NA	unknown function
phrog_14282	#3e83f6	Hoc-like head decoration	head and packaging
phrog_14283	#c9c9c9	NA	unknown function
phrog_14284	#c9c9c9	NA	unknown function
phrog_14285	#c9c9c9	NA	unknown function
phrog_14286	#c9c9c9	NA	unknown function
phrog_14287	#c9c9c9	NA	unknown function
phrog_14288	#c9c9c9	NA	unknown function
phrog_14289	#3e83f6	virion structural protein	head and packaging
phrog_14290	#c9c9c9	NA	unknown function
phrog_14291	#c9c9c9	NA	unknown function
phrog_14292	#c9c9c9	NA	unknown function
phrog_14293	#c9c9c9	NA	unknown function
phrog_14294	#c9c9c9	NA	unknown function
phrog_14295	#c9c9c9	NA	unknown function
phrog_14296	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
phrog_14297	#c9c9c9	NA	unknown function
phrog_14298	#c9c9c9	NA	unknown function
phrog_14299	#c9c9c9	NA	unknown function
phrog_14300	#c9c9c9	NA	unknown function
phrog_14301	#ffdf59	RNA ligase	DNA, RNA and nucleotide metabolism
phrog_14302	#c9c9c9	NA	unknown function
phrog_14303	#c9c9c9	NA	unknown function
phrog_14304	#a861e3	transcriptional regulator WhiB-like	transcription regulation
phrog_14305	#c9c9c9	NA	unknown function
phrog_14306	#c9c9c9	NA	unknown function
phrog_14307	#c9c9c9	NA	unknown function
phrog_14308	#c9c9c9	NA	unknown function
phrog_14309	#c9c9c9	NA	unknown function
phrog_14310	#c9c9c9	NA	unknown function
phrog_14311	#c9c9c9	NA	unknown function
phrog_14312	#c9c9c9	NA	unknown function
phrog_14313	#c9c9c9	NA	unknown function
phrog_14314	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_14315	#c9c9c9	NA	unknown function
phrog_14316	#c9c9c9	NA	unknown function
phrog_14317	#c9c9c9	NA	unknown function
phrog_14318	#c9c9c9	NA	unknown function
phrog_14319	#c9c9c9	NA	unknown function
phrog_14320	#c9c9c9	NA	unknown function
phrog_14321	#ff59f5	anti-restriction protein	moron, auxiliary metabolic gene and host takeover
phrog_14322	#c9c9c9	NA	unknown function
phrog_14323	#c9c9c9	NA	unknown function
phrog_14324	#c9c9c9	NA	unknown function
phrog_14325	#c9c9c9	NA	unknown function
phrog_14326	#ffdf59	RNA ligase	DNA, RNA and nucleotide metabolism
phrog_14327	#c9c9c9	NA	unknown function
phrog_14328	#c9c9c9	NA	unknown function
phrog_14329	#c9c9c9	NA	unknown function
phrog_14330	#c9c9c9	NA	unknown function
phrog_14331	#c9c9c9	NA	unknown function
phrog_14332	#c9c9c9	NA	unknown function
phrog_14333	#c9c9c9	NA	unknown function
phrog_14334	#c9c9c9	NA	unknown function
phrog_14335	#c9c9c9	NA	unknown function
phrog_14336	#c9c9c9	NA	unknown function
phrog_14337	#c9c9c9	NA	unknown function
phrog_14338	#c9c9c9	NA	unknown function
phrog_14339	#c9c9c9	NA	unknown function
phrog_14340	#c9c9c9	NA	unknown function
phrog_14341	#a861e3	transcriptional repressor	transcription regulation
phrog_14342	#07e9a2	lytic tail fiber protein	tail
phrog_14343	#c9c9c9	NA	unknown function
phrog_14344	#ffdf59	nucleotidyltransferase	DNA, RNA and nucleotide metabolism
phrog_14345	#c9c9c9	NA	unknown function
phrog_14346	#c9c9c9	NA	unknown function
phrog_14347	#c9c9c9	NA	unknown function
phrog_14348	#c9c9c9	NA	unknown function
phrog_14349	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14350	#c9c9c9	NA	unknown function
phrog_14351	#c9c9c9	NA	unknown function
phrog_14352	#c9c9c9	NA	unknown function
phrog_14353	#c9c9c9	NA	unknown function
phrog_14354	#c9c9c9	NA	unknown function
phrog_14355	#c9c9c9	NA	unknown function
phrog_14356	#c9c9c9	NA	unknown function
phrog_14357	#c9c9c9	NA	unknown function
phrog_14358	#c9c9c9	NA	unknown function
phrog_14359	#c9c9c9	NA	unknown function
phrog_14360	#c9c9c9	NA	unknown function
phrog_14361	#c9c9c9	NA	unknown function
phrog_14362	#c9c9c9	NA	unknown function
phrog_14363	#c9c9c9	NA	unknown function
phrog_14364	#c9c9c9	NA	unknown function
phrog_14365	#c9c9c9	NA	unknown function
phrog_14366	#c9c9c9	NA	unknown function
phrog_14367	#c9c9c9	NA	unknown function
phrog_14368	#c9c9c9	NA	unknown function
phrog_14369	#c9c9c9	NA	unknown function
phrog_14370	#c9c9c9	NA	unknown function
phrog_14371	#c9c9c9	NA	unknown function
phrog_14372	#c9c9c9	NA	unknown function
phrog_14373	#c9c9c9	NA	unknown function
phrog_14374	#c9c9c9	NA	unknown function
phrog_14375	#c9c9c9	NA	unknown function
phrog_14376	#c9c9c9	NA	unknown function
phrog_14377	#c9c9c9	NA	unknown function
phrog_14378	#c9c9c9	NA	unknown function
phrog_14379	#c9c9c9	NA	unknown function
phrog_14380	#c9c9c9	NA	unknown function
phrog_14381	#c9c9c9	NA	unknown function
phrog_14382	#c9c9c9	NA	unknown function
phrog_14383	#c9c9c9	NA	unknown function
phrog_14384	#c9c9c9	NA	unknown function
phrog_14385	#c9c9c9	NA	unknown function
phrog_14386	#c9c9c9	NA	unknown function
phrog_14387	#ffdf59	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_14388	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14389	#c9c9c9	NA	unknown function
phrog_14390	#c9c9c9	NA	unknown function
phrog_14391	#3e83f6	major head protein	head and packaging
phrog_14392	#c9c9c9	NA	unknown function
phrog_14393	#838383	hydrolase	other
phrog_14394	#3e83f6	virion structural protein	head and packaging
phrog_14395	#c9c9c9	NA	unknown function
phrog_14396	#c9c9c9	NA	unknown function
phrog_14397	#c9c9c9	NA	unknown function
phrog_14398	#c9c9c9	NA	unknown function
phrog_14399	#c9c9c9	NA	unknown function
phrog_14400	#c9c9c9	NA	unknown function
phrog_14401	#c9c9c9	NA	unknown function
phrog_14402	#c9c9c9	NA	unknown function
phrog_14403	#c9c9c9	NA	unknown function
phrog_14404	#07e9a2	baseplate protein	tail
phrog_14405	#c9c9c9	NA	unknown function
phrog_14406	#c9c9c9	NA	unknown function
phrog_14407	#c9c9c9	NA	unknown function
phrog_14408	#c9c9c9	NA	unknown function
phrog_14409	#c9c9c9	NA	unknown function
phrog_14410	#c9c9c9	NA	unknown function
phrog_14411	#c9c9c9	NA	unknown function
phrog_14412	#c9c9c9	NA	unknown function
phrog_14413	#c9c9c9	NA	unknown function
phrog_14414	#c9c9c9	NA	unknown function
phrog_14415	#c9c9c9	NA	unknown function
phrog_14416	#c9c9c9	NA	unknown function
phrog_14417	#07e9a2	tail fiber protein; host specificity	tail
phrog_14418	#c9c9c9	NA	unknown function
phrog_14419	#c9c9c9	NA	unknown function
phrog_14420	#c9c9c9	NA	unknown function
phrog_14421	#c9c9c9	NA	unknown function
phrog_14422	#c9c9c9	NA	unknown function
phrog_14423	#c9c9c9	NA	unknown function
phrog_14424	#c9c9c9	NA	unknown function
phrog_14425	#c9c9c9	NA	unknown function
phrog_14426	#c9c9c9	NA	unknown function
phrog_14427	#c9c9c9	NA	unknown function
phrog_14428	#c9c9c9	NA	unknown function
phrog_14429	#838383	hydrolase	other
phrog_14430	#c9c9c9	NA	unknown function
phrog_14431	#c9c9c9	NA	unknown function
phrog_14432	#c9c9c9	NA	unknown function
phrog_14433	#c9c9c9	NA	unknown function
phrog_14434	#c9c9c9	NA	unknown function
phrog_14435	#c9c9c9	NA	unknown function
phrog_14436	#c9c9c9	NA	unknown function
phrog_14437	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism
phrog_14438	#c9c9c9	NA	unknown function
phrog_14439	#c9c9c9	NA	unknown function
phrog_14440	#3e83f6	virion structural protein	head and packaging
phrog_14441	#07e9a2	tail length tape measure protein	tail
phrog_14442	#07e9a2	tail protein	tail
phrog_14443	#c9c9c9	NA	unknown function
phrog_14444	#c9c9c9	NA	unknown function
phrog_14445	#c9c9c9	NA	unknown function
phrog_14446	#c9c9c9	NA	unknown function
phrog_14447	#c9c9c9	NA	unknown function
phrog_14448	#c9c9c9	NA	unknown function
phrog_14449	#fea328	transposase	integration and excision
phrog_14450	#c9c9c9	NA	unknown function
phrog_14451	#c9c9c9	NA	unknown function
phrog_14452	#c9c9c9	NA	unknown function
phrog_14453	#f35f49	holin	lysis
phrog_14454	#c9c9c9	NA	unknown function
phrog_14455	#c9c9c9	NA	unknown function
phrog_14456	#c9c9c9	NA	unknown function
phrog_14457	#c9c9c9	NA	unknown function
phrog_14458	#07e9a2	tail fiber protein	tail
phrog_14459	#a861e3	transcriptional regulator WhiB-like	transcription regulation
phrog_14460	#c9c9c9	NA	unknown function
phrog_14461	#c9c9c9	NA	unknown function
phrog_14462	#c9c9c9	NA	unknown function
phrog_14463	#c9c9c9	NA	unknown function
phrog_14464	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14465	#a861e3	anti-termination protein Q-like	transcription regulation
phrog_14466	#c9c9c9	NA	unknown function
phrog_14467	#3e83f6	virion structural protein	head and packaging
phrog_14468	#c9c9c9	NA	unknown function
phrog_14469	#07e9a2	tail fiber protein	tail
phrog_14470	#c9c9c9	NA	unknown function
phrog_14471	#c9c9c9	NA	unknown function
phrog_14472	#c9c9c9	NA	unknown function
phrog_14473	#c9c9c9	NA	unknown function
phrog_14474	#a861e3	transcriptional regulator	transcription regulation
phrog_14475	#c9c9c9	NA	unknown function
phrog_14476	#3e83f6	virion structural protein	head and packaging
phrog_14477	#ffdf59	helicase	DNA, RNA and nucleotide metabolism
phrog_14478	#3e83f6	virion structural protein	head and packaging
phrog_14479	#c9c9c9	NA	unknown function
phrog_14480	#c9c9c9	NA	unknown function
phrog_14481	#3e83f6	virion structural protein	head and packaging
phrog_14482	#c9c9c9	NA	unknown function
phrog_14483	#c9c9c9	NA	unknown function
phrog_14484	#3e83f6	virion structural protein	head and packaging
phrog_14485	#c9c9c9	NA	unknown function
phrog_14486	#c9c9c9	NA	unknown function
phrog_14487	#c9c9c9	NA	unknown function
phrog_14488	#838383	DNA methyltransferase	other
phrog_14489	#c9c9c9	NA	unknown function
phrog_14490	#c9c9c9	NA	unknown function
phrog_14491	#c9c9c9	NA	unknown function
phrog_14492	#c9c9c9	NA	unknown function
phrog_14493	#c9c9c9	NA	unknown function
phrog_14494	#c9c9c9	NA	unknown function
phrog_14495	#c9c9c9	NA	unknown function
phrog_14496	#f35f49	endolysin	lysis
phrog_14497	#c9c9c9	NA	unknown function
phrog_14498	#c9c9c9	NA	unknown function
phrog_14499	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14500	#c9c9c9	NA	unknown function
phrog_14501	#3e83f6	virion structural protein	head and packaging
phrog_14502	#c9c9c9	NA	unknown function
phrog_14503	#ff59f5	membrane associated protein	moron, auxiliary metabolic gene and host takeover
phrog_14504	#c9c9c9	NA	unknown function
phrog_14505	#c9c9c9	NA	unknown function
phrog_14506	#c9c9c9	NA	unknown function
phrog_14507	#c9c9c9	NA	unknown function
phrog_14508	#c9c9c9	NA	unknown function
phrog_14509	#c9c9c9	NA	unknown function
phrog_14510	#c9c9c9	NA	unknown function
phrog_14511	#c9c9c9	NA	unknown function
phrog_14512	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14513	#c9c9c9	NA	unknown function
phrog_14514	#c9c9c9	NA	unknown function
phrog_14515	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_14516	#c9c9c9	NA	unknown function
phrog_14517	#c9c9c9	NA	unknown function
phrog_14518	#c9c9c9	NA	unknown function
phrog_14519	#ff59f5	glutamine amidotransferase	moron, auxiliary metabolic gene and host takeover
phrog_14520	#3e83f6	virion structural protein	head and packaging
phrog_14521	#c9c9c9	NA	unknown function
phrog_14522	#c9c9c9	NA	unknown function
phrog_14523	#c9c9c9	NA	unknown function
phrog_14524	#c9c9c9	NA	unknown function
phrog_14525	#c9c9c9	NA	unknown function
phrog_14526	#c9c9c9	NA	unknown function
phrog_14527	#c9c9c9	NA	unknown function
phrog_14528	#c9c9c9	NA	unknown function
phrog_14529	#c9c9c9	NA	unknown function
phrog_14530	#c9c9c9	NA	unknown function
phrog_14531	#c9c9c9	NA	unknown function
phrog_14532	#c9c9c9	NA	unknown function
phrog_14533	#c9c9c9	NA	unknown function
phrog_14534	#c9c9c9	NA	unknown function
phrog_14535	#c9c9c9	NA	unknown function
phrog_14536	#c9c9c9	NA	unknown function
phrog_14537	#c9c9c9	NA	unknown function
phrog_14538	#c9c9c9	NA	unknown function
phrog_14539	#c9c9c9	NA	unknown function
phrog_14540	#c9c9c9	NA	unknown function
phrog_14541	#3e83f6	virion structural protein	head and packaging
phrog_14542	#c9c9c9	NA	unknown function
phrog_14543	#3e83f6	virion structural protein	head and packaging
phrog_14544	#c9c9c9	NA	unknown function
phrog_14545	#c9c9c9	NA	unknown function
phrog_14546	#c9c9c9	NA	unknown function
phrog_14547	#c9c9c9	NA	unknown function
phrog_14548	#c9c9c9	NA	unknown function
phrog_14549	#c9c9c9	NA	unknown function
phrog_14550	#c9c9c9	NA	unknown function
phrog_14551	#c9c9c9	NA	unknown function
phrog_14552	#c9c9c9	NA	unknown function
phrog_14553	#c9c9c9	NA	unknown function
phrog_14554	#c9c9c9	NA	unknown function
phrog_14555	#c9c9c9	NA	unknown function
phrog_14556	#c9c9c9	NA	unknown function
phrog_14557	#c9c9c9	NA	unknown function
phrog_14558	#07e9a2	tail spike protein	tail
phrog_14559	#c9c9c9	NA	unknown function
phrog_14560	#c9c9c9	NA	unknown function
phrog_14561	#c9c9c9	NA	unknown function
phrog_14562	#c9c9c9	NA	unknown function
phrog_14563	#c9c9c9	NA	unknown function
phrog_14564	#c9c9c9	NA	unknown function
phrog_14565	#c9c9c9	NA	unknown function
phrog_14566	#c9c9c9	NA	unknown function
phrog_14567	#c9c9c9	NA	unknown function
phrog_14568	#c9c9c9	NA	unknown function
phrog_14569	#3e83f6	virion structural protein	head and packaging
phrog_14570	#c9c9c9	NA	unknown function
phrog_14571	#c9c9c9	NA	unknown function
phrog_14572	#07e9a2	tail fiber protein	tail
phrog_14573	#c9c9c9	NA	unknown function
phrog_14574	#c9c9c9	NA	unknown function
phrog_14575	#c9c9c9	NA	unknown function
phrog_14576	#c9c9c9	NA	unknown function
phrog_14577	#c9c9c9	NA	unknown function
phrog_14578	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_14579	#c9c9c9	NA	unknown function
phrog_14580	#c9c9c9	NA	unknown function
phrog_14581	#c9c9c9	NA	unknown function
phrog_14582	#c9c9c9	NA	unknown function
phrog_14583	#c9c9c9	NA	unknown function
phrog_14584	#c9c9c9	NA	unknown function
phrog_14585	#c9c9c9	NA	unknown function
phrog_14586	#c9c9c9	NA	unknown function
phrog_14587	#ff59f5	anti-restriction protein	moron, auxiliary metabolic gene and host takeover
phrog_14588	#c9c9c9	NA	unknown function
phrog_14589	#c9c9c9	NA	unknown function
phrog_14590	#c9c9c9	NA	unknown function
phrog_14591	#c9c9c9	NA	unknown function
phrog_14592	#3e83f6	virion structural protein	head and packaging
phrog_14593	#c9c9c9	NA	unknown function
phrog_14594	#c9c9c9	NA	unknown function
phrog_14595	#c9c9c9	NA	unknown function
phrog_14596	#c9c9c9	NA	unknown function
phrog_14597	#c9c9c9	NA	unknown function
phrog_14598	#c9c9c9	NA	unknown function
phrog_14599	#c9c9c9	NA	unknown function
phrog_14600	#c9c9c9	NA	unknown function
phrog_14601	#c9c9c9	NA	unknown function
phrog_14602	#c9c9c9	NA	unknown function
phrog_14603	#c9c9c9	NA	unknown function
phrog_14604	#c9c9c9	NA	unknown function
phrog_14605	#c9c9c9	NA	unknown function
phrog_14606	#c9c9c9	NA	unknown function
phrog_14607	#f35f49	holin/anti-holin	lysis
phrog_14608	#c9c9c9	NA	unknown function
phrog_14609	#c9c9c9	NA	unknown function
phrog_14610	#c9c9c9	NA	unknown function
phrog_14611	#c9c9c9	NA	unknown function
phrog_14612	#c9c9c9	NA	unknown function
phrog_14613	#c9c9c9	NA	unknown function
phrog_14614	#f35f49	endolysin	lysis
phrog_14615	#c9c9c9	NA	unknown function
phrog_14616	#c9c9c9	NA	unknown function
phrog_14617	#c9c9c9	NA	unknown function
phrog_14618	#c9c9c9	NA	unknown function
phrog_14619	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
phrog_14620	#c9c9c9	NA	unknown function
phrog_14621	#c9c9c9	NA	unknown function
phrog_14622	#c9c9c9	NA	unknown function
phrog_14623	#c9c9c9	NA	unknown function
phrog_14624	#c9c9c9	NA	unknown function
phrog_14625	#c9c9c9	NA	unknown function
phrog_14626	#c9c9c9	NA	unknown function
phrog_14627	#c9c9c9	NA	unknown function
phrog_14628	#c9c9c9	NA	unknown function
phrog_14629	#c9c9c9	NA	unknown function
phrog_14630	#c9c9c9	NA	unknown function
phrog_14631	#c9c9c9	NA	unknown function
phrog_14632	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
phrog_14633	#c9c9c9	NA	unknown function
phrog_14634	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_14635	#c9c9c9	NA	unknown function
phrog_14636	#c9c9c9	NA	unknown function
phrog_14637	#c9c9c9	NA	unknown function
phrog_14638	#c9c9c9	NA	unknown function
phrog_14639	#a861e3	cro-like repressor	transcription regulation
phrog_14640	#c9c9c9	NA	unknown function
phrog_14641	#c9c9c9	NA	unknown function
phrog_14642	#f35f49	endolysin	lysis
phrog_14643	#c9c9c9	NA	unknown function
phrog_14644	#07e9a2	tail protein	tail
phrog_14645	#c9c9c9	NA	unknown function
phrog_14646	#c9c9c9	NA	unknown function
phrog_14647	#c9c9c9	NA	unknown function
phrog_14648	#c9c9c9	NA	unknown function
phrog_14649	#c9c9c9	NA	unknown function
phrog_14650	#c9c9c9	NA	unknown function
phrog_14651	#c9c9c9	NA	unknown function
phrog_14652	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_14653	#c9c9c9	NA	unknown function
phrog_14654	#c9c9c9	NA	unknown function
phrog_14655	#c9c9c9	NA	unknown function
phrog_14656	#c9c9c9	NA	unknown function
phrog_14657	#c9c9c9	NA	unknown function
phrog_14658	#c9c9c9	NA	unknown function
phrog_14659	#c9c9c9	NA	unknown function
phrog_14660	#c9c9c9	NA	unknown function
phrog_14661	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14662	#c9c9c9	NA	unknown function
phrog_14663	#c9c9c9	NA	unknown function
phrog_14664	#c9c9c9	NA	unknown function
phrog_14665	#c9c9c9	NA	unknown function
phrog_14666	#c9c9c9	NA	unknown function
phrog_14667	#c9c9c9	NA	unknown function
phrog_14668	#c9c9c9	NA	unknown function
phrog_14669	#c9c9c9	NA	unknown function
phrog_14670	#c9c9c9	NA	unknown function
phrog_14671	#c9c9c9	NA	unknown function
phrog_14672	#c9c9c9	NA	unknown function
phrog_14673	#c9c9c9	NA	unknown function
phrog_14674	#c9c9c9	NA	unknown function
phrog_14675	#c9c9c9	NA	unknown function
phrog_14676	#c9c9c9	NA	unknown function
phrog_14677	#c9c9c9	NA	unknown function
phrog_14678	#c9c9c9	NA	unknown function
phrog_14679	#c9c9c9	NA	unknown function
phrog_14680	#c9c9c9	NA	unknown function
phrog_14681	#c9c9c9	NA	unknown function
phrog_14682	#c9c9c9	NA	unknown function
phrog_14683	#c9c9c9	NA	unknown function
phrog_14684	#c9c9c9	NA	unknown function
phrog_14685	#c9c9c9	NA	unknown function
phrog_14686	#c9c9c9	NA	unknown function
phrog_14687	#c9c9c9	NA	unknown function
phrog_14688	#838383	lipoprotein	other
phrog_14689	#c9c9c9	NA	unknown function
phrog_14690	#838383	cAMP-dependent Kef-type K+ transporter	other
phrog_14691	#c9c9c9	NA	unknown function
phrog_14692	#c9c9c9	NA	unknown function
phrog_14693	#c9c9c9	NA	unknown function
phrog_14694	#c9c9c9	NA	unknown function
phrog_14695	#c9c9c9	NA	unknown function
phrog_14696	#c9c9c9	NA	unknown function
phrog_14697	#c9c9c9	NA	unknown function
phrog_14698	#c9c9c9	NA	unknown function
phrog_14699	#c9c9c9	NA	unknown function
phrog_14700	#c9c9c9	NA	unknown function
phrog_14701	#c9c9c9	NA	unknown function
phrog_14702	#c9c9c9	NA	unknown function
phrog_14703	#c9c9c9	NA	unknown function
phrog_14704	#c9c9c9	NA	unknown function
phrog_14705	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14706	#c9c9c9	NA	unknown function
phrog_14707	#c9c9c9	NA	unknown function
phrog_14708	#c9c9c9	NA	unknown function
phrog_14709	#c9c9c9	NA	unknown function
phrog_14710	#c9c9c9	NA	unknown function
phrog_14711	#c9c9c9	NA	unknown function
phrog_14712	#ff59f5	chitinase	moron, auxiliary metabolic gene and host takeover
phrog_14713	#c9c9c9	NA	unknown function
phrog_14714	#c9c9c9	NA	unknown function
phrog_14715	#c9c9c9	NA	unknown function
phrog_14716	#c9c9c9	NA	unknown function
phrog_14717	#07e9a2	tail protein	tail
phrog_14718	#c9c9c9	NA	unknown function
phrog_14719	#c9c9c9	NA	unknown function
phrog_14720	#c9c9c9	NA	unknown function
phrog_14721	#c9c9c9	NA	unknown function
phrog_14722	#c9c9c9	NA	unknown function
phrog_14723	#c9c9c9	NA	unknown function
phrog_14724	#c9c9c9	NA	unknown function
phrog_14725	#c9c9c9	NA	unknown function
phrog_14726	#07e9a2	tail fiber protein	tail
phrog_14727	#c9c9c9	NA	unknown function
phrog_14728	#c9c9c9	NA	unknown function
phrog_14729	#c9c9c9	NA	unknown function
phrog_14730	#c9c9c9	NA	unknown function
phrog_14731	#c9c9c9	NA	unknown function
phrog_14732	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_14733	#c9c9c9	NA	unknown function
phrog_14734	#c9c9c9	NA	unknown function
phrog_14735	#c9c9c9	NA	unknown function
phrog_14736	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_14737	#c9c9c9	NA	unknown function
phrog_14738	#c9c9c9	NA	unknown function
phrog_14739	#c9c9c9	NA	unknown function
phrog_14740	#c9c9c9	NA	unknown function
phrog_14741	#c9c9c9	NA	unknown function
phrog_14742	#c9c9c9	NA	unknown function
phrog_14743	#c9c9c9	NA	unknown function
phrog_14744	#c9c9c9	NA	unknown function
phrog_14745	#c9c9c9	NA	unknown function
